papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
RIPI4,48.5,11.35,-29.24,-7.525,0.0,7.164,-60.16,-8.88,-16.93,-9.4,-9.4,0.847,-0.6631,-0.991,-2.5761000000000003,0.87,0.0,-49103000.0,-2.44,0.0582
RJCP3,0.01,-224.7,0.65,0.0,0.0,0.619,0.0,-522.94,0.0,-523.96,-917.32,0.0,0.0,0.0,-0.0029,0.0,0.0,17287200.0,0.0,0.0
RLOG3,23.08,82.76,4.26,1.534,0.0,0.229,1.49,5.32,-0.5,12.43,6.68,0.28850000000000003,0.0707,0.0536,0.051500000000000004,2.64,0.0,2507240000.0,9.08,0.0876
RNEW11,6.3,2.74,3.19,2.971,0.0,0.255,-4.57,-7.77,-0.32,-21.33,-30.07,-0.3822,1.084,-0.0353,1.1642000000000001,0.69,56511.1,160679000.0,6.06,-0.3285
RNEW3,2.04,2.66,3.1,2.886,0.0,0.248,-4.44,-7.55,-0.31,-21.11,-29.76,-0.3822,1.084,-0.0353,1.1642000000000001,0.69,62321.5,160679000.0,6.06,-0.3285
RNEW4,2.05,2.68,3.11,2.9,0.0,0.249,-4.46,-7.59,-0.31,-21.15,-29.81,-0.3822,1.084,-0.0353,1.1642000000000001,0.69,140429.0,160679000.0,6.06,-0.3285
RNPT3,31.87,5.75,0.39,0.468,0.0,0.38,57.12,56.21,57.12,56.15,56.15,0.0083,0.08130000000000001,0.0068000000000000005,0.0672,1.38,0.0,63944000.0,0.0,0.048499999999999995
RNPT4,31.81,5.74,0.39,0.467,0.0,0.379,57.01,56.1,57.01,56.05,56.05,0.0083,0.08130000000000001,0.0068000000000000005,0.0672,1.38,0.0,63944000.0,0.0,0.048499999999999995
ROMI3,14.55,6.42,1.15,0.783,0.057,0.539,1.92,5.61,7.03,7.82,6.33,0.1396,0.1222,0.1149,0.1796,1.86,10517800.0,1016970000.0,0.61,0.2284
ROMI4,185.0,81.69,14.67,9.956,0.0,6.852,24.4,71.32,89.45,73.53,59.56,0.1396,0.1222,0.1149,0.1796,1.86,0.0,1016970000.0,0.61,0.2284
RPAD3,7.14,9.6,0.56,0.0,0.0001,0.562,9.69,-141.57,9.71,-126.24,-126.24,0.0,0.0,-0.0042,0.0587,14.72,1931.86,1072040000.0,0.0,-0.3135
RPAD5,6.9,9.28,0.55,0.0,0.0818,0.543,9.37,-136.81,9.38,-121.48,-121.48,0.0,0.0,-0.0042,0.0587,14.72,969.98,1072040000.0,0.0,-0.3135
RPAD6,6.6,8.88,0.52,0.0,0.0001,0.519,8.96,-130.86,8.98,-115.53,-115.53,0.0,0.0,-0.0042,0.0587,14.72,3393.37,1072040000.0,0.0,-0.3135
RPMG3,1.53,-0.11,-0.02,0.022,0.0,0.021,-0.03,-0.12,-0.02,-0.12,-0.12,-0.187,-0.1913,-0.1784,0.215,0.54,12015.7,-4233000000.0,0.0,0.5282
RPMG4,0.26,-0.02,-0.0,0.004,0.0,0.003,-0.0,-0.02,-0.0,-0.02,-0.02,-0.187,-0.1913,-0.1784,0.215,0.54,0.0,-4233000000.0,0.0,0.5282
RPSA4,4.9,27.33,1.55,5.697,0.0,0.805,5.09,107.53,-4.5,137.55,137.55,0.053,0.20850000000000002,0.0085,0.056900000000000006,2.09,0.0,1167980000.0,0.61,-0.1423
RRRP3,35.86,33.51,1.69,4.768,0.0,0.904,8.49,14.15,-3.95,13.6,9.4,0.337,0.1503,0.0785,0.050300000000000004,1.88,171298000.0,4318780000.0,0.24,1.3336000000000001
RSID3,2.6,-0.25,-0.06,3.919,0.0,0.06,-0.05,-0.7,-0.04,-8.8,-8.96,-5.5920000000000005,-16.9807,-0.09119999999999999,0.23170000000000002,0.27,187404.0,-913959000.0,-0.67,-0.3795
RSIP3,0.44,22.7,1.32,0.875,0.0,0.433,-10.98,9.53,-1.46,18.48,33.21,0.0917,0.0385,0.05,0.057999999999999996,0.9,0.0,66914000.0,1.4,0.15130000000000002
RSUL4,71.48,6.87,3.42,1.104,0.0273,1.277,5.1,4.22,-14.46,4.04,3.81,0.2619,0.16079999999999997,0.36310000000000003,0.4979,1.87,141353.0,124136000.0,0.09,0.30210000000000004
SALM3,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.10220000000000001,0.041299999999999996,0.25780000000000003,0.1953,1.31,0.0,475600000.0,0.8,0.24530000000000002
SALM4,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.10220000000000001,0.041299999999999996,0.25780000000000003,0.1953,1.31,0.0,475600000.0,0.8,0.24530000000000002
